Name,Department,Group Name,Job Title,Learning Item Name,Course ID,Type,Enrollment type,Start Date,Unenrollment Date,Completion Date,Due Date,Status,Recommended Duration,Time Spent,Progress (%),Overdue,In the learning track,Modules completed (%),Awarded Score (%),Passing Score (%),Training type,Session title,Session start date,Session end date,Duration,Instructor,Organizer,Session access date,Confirmation status,Session attendance,Participation time in online meeting,Enrollment method,Enrollment Status,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Drilling Fluids Theory,,Technical,Administrator,03/13/24,,04/10/24,04/12/24,Passed,20:00,14:15,100,0,Drilling Engineer,100,82,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Drilling Fluids Practical,,Mandatory,Administrator,11/07/23,,11/30/23,12/07/23,Passed,16:00,12:16,100,0,Drilling Engineer,100,82,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Fire Safety Practice,,Professional,Administrator,11/10/23,,11/11/23,12/10/23,Passed,20:00,14:59,100,0,Drilling Engineer,100,82,80,Workshop,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Fire Safety Theory,,Mandatory,Administrator,04/29/23,,05/13/23,05/29/23,Passed,2:00,1:26,100,0,Drilling Engineer,100,91,80,Workshop,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Train the Trainer Theory,,Professional,Administrator,06/09/23,,07/08/23,08/08/23,Passed,15:00,14:42,100,0,Drilling Engineer,100,82,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Train the Trainer Practical,,Technical,Administrator,09/28/23,,11/02/23,11/27/23,Passed,16:00,11:18,100,0,Drilling Engineer,100,93,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Personal Protective Equipment,,Mandatory,Administrator,12/25/24,,12/27/24,01/24/25,Passed,2:00,2:00,100,0,Drilling Engineer,100,82,80,Workshop,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Coordinating a Training Program,,Professional,Administrator,12/13/23,,01/09/24,01/12/24,Passed,4:00,3:41,100,0,Drilling Engineer,100,82,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Intro to Petroleum Geology,,Professional,Administrator,01/04/24,,02/20/24,04/03/24,Passed,16:00,13:40,100,0,Drilling Engineer,100,91,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Hole Enlargement Theory,,Mandatory,Administrator,05/19/24,,07/17/24,08/17/24,Passed,20:00,19:00,100,0,Drilling Engineer,100,93,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Hole Enlargement Practical,,Professional,Administrator,01/16/24,,03/15/24,04/15/24,Passed,16:00,15:30,100,0,Drilling Engineer,100,96,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Centrifugal Pumps Theory,,Technical,Administrator,04/30/23,,06/19/23,06/29/23,Passed,16:00,15:03,100,0,Drilling Engineer,100,96,80,OTJ Experience,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Centrifugal Pumps Practical,,Mandatory,Administrator,12/02/23,,12/05/23,01/31/24,Passed,16:00,14:14,100,0,Drilling Engineer,100,98,80,Virtual,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Whipstock Practices,,Professional,Administrator,01/06/24,,01/16/24,03/06/24,Passed,16:00,11:03,100,0,Drilling Engineer,100,82,80,OTJ Experience,,,,,,,,,,,,1,
Jack Frost,D&W Land Operations,Drilling Land,Drilling Engineer 3,Whipstock Theory,,Technical,Administrator,06/20/24,,07/20/24,08/19/24,Passed,16:00,15:00,100,0,Drilling Engineer,100,100,80,OTJ Experience,,,,,,,,,,,,1,
